White	WhiteWin	Draw	BlackWin	Black
L1-A1-Q-A1	100.0	0.0	0.0	L1-G1-Q-A1
L1-A1-M1-Q	33.333332	0.0	66.666664	L1-M1-Q-A1
G1-S1-Q-A1	0.0	33.333332	66.666664	G1-Q-A1-A1
G1-Q-S1-S1	100.0	0.0	0.0	S1-Q-A1-A1
G1-Q-S1-S1	66.666664	0.0	33.333332	G1-Q-S1-S1
G1-Q-S1-S1	66.666664	33.333332	0.0	G1-Q-G2-A1
G1-Q-S1-S1	100.0	0.0	0.0	G1-Q-A1-G2
G1-Q-S1-A1	66.666664	33.333332	0.0	G1-Q-A1-A1
G1-Q-A1-S1	66.666664	0.0	33.333332	G1-Q-S1-G2
G1-Q-A1-S1	33.333332	0.0	66.666664	G1-Q-G2-A1
G1-Q-A1-M1	33.333332	0.0	66.666664	G1-Q-S1-S1
G1-Q-A1-M1	33.333332	0.0	66.666664	G1-Q-A1-S1
G1-Q-A1-M1	0.0	0.0	100.0	B1-Q-S1-S1
G1-Q-A1-A2	66.666664	0.0	33.333332	G1-Q-S1-G2
G1-Q-A1-A1	0.0	33.333332	66.666664	L1-Q-A1-A2
G1-Q-A1-A1	66.666664	0.0	33.333332	B1-Q-S1-S2
G1-Q-A1-A1	33.333332	0.0	66.666664	B1-Q-S1-S1
G1-A1-Q-S1	66.666664	0.0	33.333332	G1-S1-Q-S1
G1-A1-Q-A1	33.333332	0.0	66.666664	L1-Q-A1-A2
G1-A1-Q-A1	100.0	0.0	0.0	L1-G1-Q-A1
G1-A1-M1-Q	0.0	0.0	100.0	L1-M1-Q-A1
B1-Q-A1-A1	66.666664	0.0	33.333332	G1-Q-A1-A2
B1-A1-Q-A1	100.0	0.0	0.0	G1-Q-A1-S1
B1-A1-Q-A1	66.666664	0.0	33.333332	G1-Q-A1-A2
B1-A1-Q-A1	66.666664	33.333332	0.0	G1-G2-Q-S1
B1-A1-Q-A1	0.0	0.0	100.0	B1-Q-S1-A1
S1-Q-S2-S2	50.0	0.0	50.0	Q-A1-A1-A2
S1-Q-S2-S2	100.0	0.0	0.0	L1-M1-Q-A1
S1-Q-S2-S2	50.0	0.0	50.0	G1-Q-A1-A2
S1-Q-A1-S2	100.0	0.0	0.0	G1-G2-Q-A1
S1-Q-A1-A1	50.0	0.0	50.0	L1-Q-M1-M1
S1-Q-A1-A1	50.0	0.0	50.0	G1-Q-G2-A1
S1-Q-A1-A1	100.0	0.0	0.0	G1-Q-A1-A2
S1-Q-A1-A1	100.0	0.0	0.0	B1-Q-A1-A2
S1-A1-Q-A2	0.0	0.0	100.0	L1-Q-M1-S1
S1-A1-Q-A2	0.0	0.0	100.0	G1-Q-M1-A1
S1-A1-Q-A1	0.0	0.0	100.0	G1-Q-M1-A1
S1-A1-Q-A1	0.0	0.0	100.0	G1-Q-A1-G2
S1-A1-Q-A1	50.0	0.0	50.0	G1-Q-A1-A2
P-Q-S1-S1	0.0	0.0	100.0	G1-Q-B1-B1
P-Q-A1-A1	100.0	0.0	0.0	B1-Q-Q-A1
P-A1-Q-A1	0.0	50.0	50.0	P-Q-A1-A2
P-A1-Q-A1	50.0	0.0	50.0	M1-A1-Q-A2
P-A1-Q-A1	0.0	0.0	100.0	G1-Q-A1-S1
L1-Q-S1-S1	100.0	0.0	0.0	L1-Q-M1-A1
L1-Q-S1-S1	50.0	0.0	50.0	G1-Q-A1-A2
L1-Q-S1-M1	50.0	0.0	50.0	L1-Q-A1-M1
L1-Q-A1-G1	100.0	0.0	0.0	S1-G1-M1-Q
L1-Q-A1-A1	100.0	0.0	0.0	P-Q-M1-A1
L1-Q-A1-A1	50.0	0.0	50.0	L1-M1-Q-A1
L1-A1-Q-S1	100.0	0.0	0.0	L1-M1-Q-S1
L1-A1-Q-S1	100.0	0.0	0.0	L1-M1-Q-A1
L1-A1-Q-P	100.0	0.0	0.0	L1-M1-Q-A1
L1-A1-Q-M1	0.0	0.0	100.0	L1-Q-M1-A1
L1-A1-Q-M1	50.0	0.0	50.0	L1-M1-Q-S1
L1-A1-Q-A2	50.0	50.0	0.0	G1-L1-Q-S1
L1-A1-Q-A1	0.0	0.0	100.0	L1-Q-S1-A1
L1-A1-Q-A1	100.0	0.0	0.0	L1-M1-Q-S1
L1-A1-Q-A1	100.0	0.0	0.0	L1-G1-Q-G1
G1-S1-Q-S1	100.0	0.0	0.0	G1-Q-S1-S1
G1-S1-Q-S1	100.0	0.0	0.0	G1-Q-A1-A1
G1-S1-Q-A1	50.0	50.0	0.0	G1-Q-S1-S1
G1-Q-S1-S2	50.0	0.0	50.0	G1-Q-S1-S1
G1-Q-S1-S1	50.0	50.0	0.0	L1-Q-G1-G1
G1-Q-S1-S1	50.0	0.0	50.0	G1-Q-A1-M1
G1-Q-S1-S1	0.0	50.0	50.0	G1-G2-Q-A1
G1-Q-S1-M1	100.0	0.0	0.0	G1-Q-A1-A2
G1-Q-S1-A1	0.0	50.0	50.0	Q-A1-A1-S1
G1-Q-S1-A1	50.0	0.0	50.0	G1-Q-S1-S1
G1-Q-S1-A1	50.0	50.0	0.0	G1-Q-P-S1
G1-Q-B1-B1	100.0	0.0	0.0	P-Q-A1-A1
G1-Q-A1-S1	0.0	0.0	100.0	B1-Q-S1-G1
G1-Q-A1-M1	0.0	0.0	100.0	L1-Q-M1-S1
G1-Q-A1-A2	100.0	0.0	0.0	S1-G1-M1-Q
G1-Q-A1-A2	0.0	0.0	100.0	Q-A1-A1-M1
G1-Q-A1-A2	50.0	0.0	50.0	G1-Q-S1-S2
G1-Q-A1-A1	100.0	0.0	0.0	S1-Q-A1-A2
G1-Q-A1-A1	0.0	50.0	50.0	P-Q-A1-A2
G1-Q-A1-A1	0.0	0.0	100.0	L1-Q-A1-M1
G1-Q-A1-A1	100.0	0.0	0.0	G1-Q-A1-M1
G1-Q-A1-A1	50.0	0.0	50.0	B1-Q-S1-G1
G1-A1-Q-S1	50.0	50.0	0.0	L1-M1-Q-A1
G1-A1-Q-Q	0.0	0.0	100.0	G1-Q-S1-A1
G1-A1-Q-A2	50.0	0.0	50.0	L1-M1-Q-A1
G1-A1-Q-A2	0.0	100.0	0.0	G1-B1-Q-A1
G1-A1-Q-A2	50.0	0.0	50.0	B1-Q-S1-S1
G1-A1-Q-A1	50.0	0.0	50.0	S1-Q-S2-A1
G1-A1-Q-A1	50.0	0.0	50.0	S1-Q-A1-M1
G1-A1-Q-A1	100.0	0.0	0.0	L1-Q-M1-A1
G1-A1-Q-A1	50.0	0.0	50.0	L1-M1-Q-M1
G1-A1-Q-A1	50.0	50.0	0.0	L1-A1-Q-A2
G1-A1-Q-A1	100.0	0.0	0.0	G1-Q-L1-A1
G1-A1-Q-A1	50.0	0.0	50.0	G1-Q-A1-M1
G1-A1-Q-A1	50.0	0.0	50.0	G1-Q-A1-B1
G1-A1-Q-A1	100.0	0.0	0.0	G1-M1-Q-A1
G1-A1-Q-A1	50.0	0.0	50.0	B1-Q-S1-S1
G1-A1-A2-Q	0.0	0.0	100.0	G1-Q-S1-S1
B1-Q-A1-S1	100.0	0.0	0.0	B1-Q-S1-S1
B1-Q-A1-A1	100.0	0.0	0.0	G1-Q-A1-G2
B1-Q-A1-A1	50.0	0.0	50.0	B1-Q-A1-S1
B1-A1-Q-A2	100.0	0.0	0.0	G1-Q-S1-S1
B1-A1-Q-A2	100.0	0.0	0.0	G1-Q-S1-A1
B1-A1-Q-A1	100.0	0.0	0.0	G1-Q-S1-S1
B1-A1-Q-A1	50.0	0.0	50.0	G1-Q-S1-A1
B1-A1-Q-A1	50.0	0.0	50.0	G1-A1-Q-S1
B1-A1-Q-A1	50.0	50.0	0.0	B1-A1-Q-S1
B1-A1-Q-A1	100.0	0.0	0.0	B1-A1-Q-A2
S1-Q-S2-S2	0.0	0.0	100.0	S1-Q-A1-A2
S1-Q-S2-S2	100.0	0.0	0.0	S1-Q-A1-A1
S1-Q-S2-S2	0.0	100.0	0.0	Q-S1-S1-A1
S1-Q-S2-S2	100.0	0.0	0.0	Q-A1-S1-S1
S1-Q-S2-S2	100.0	0.0	0.0	Q-A1-M1-M1
S1-Q-S2-S2	100.0	0.0	0.0	L1-Q-S1-A1
S1-Q-S2-S2	100.0	0.0	0.0	L1-Q-A1-G1
S1-Q-S2-S2	0.0	0.0	100.0	L1-Q-A1-A2
S1-Q-S2-S2	100.0	0.0	0.0	L1-G1-Q-A1
S1-Q-S2-S2	0.0	0.0	100.0	G1-S1-Q-A1
S1-Q-S2-S2	0.0	0.0	100.0	G1-Q-S1-A1
S1-Q-S2-S2	100.0	0.0	0.0	G1-Q-G2-A1
S1-Q-S2-S2	100.0	0.0	0.0	G1-Q-A1-S1
S1-Q-S2-S2	0.0	0.0	100.0	G1-Q-A1-G2
S1-Q-S2-A1	100.0	0.0	0.0	Q-S1-G1-S1
S1-Q-S2-A1	0.0	0.0	100.0	G1-G2-Q-A1
S1-Q-G1-S2	0.0	0.0	100.0	L1-M1-Q-A1
S1-Q-G1-G1	100.0	0.0	0.0	G1-A1-Q-S1
S1-Q-G1-G1	100.0	0.0	0.0	G1-A1-Q-G2
S1-Q-B1-B1	100.0	0.0	0.0	Q-S1-S2-S1
S1-Q-B1-B1	0.0	100.0	0.0	Q-A1-A1-Q
S1-Q-A1-S2	100.0	0.0	0.0	G1-S1-S2-Q
S1-Q-A1-S2	100.0	0.0	0.0	G1-G2-Q-S1
S1-Q-A1-S2	0.0	0.0	100.0	G1-A1-S1-Q
S1-Q-A1-S2	0.0	0.0	100.0	B1-Q-S1-S1
S1-Q-A1-A2	100.0	0.0	0.0	L1-Q-M1-S1
S1-Q-A1-A2	100.0	0.0	0.0	G1-Q-G2-Q
S1-Q-A1-A2	0.0	0.0	100.0	G1-G2-Q-S1
S1-Q-A1-A1	0.0	0.0	100.0	S1-S2-Q-S2
S1-Q-A1-A1	100.0	0.0	0.0	S1-Q-S2-S2
S1-Q-A1-A1	100.0	0.0	0.0	S1-Q-S2-A1
S1-Q-A1-A1	100.0	0.0	0.0	Q-G1-S1-A1
S1-Q-A1-A1	0.0	0.0	100.0	L1-Q-A1-A2
S1-Q-A1-A1	0.0	0.0	100.0	L1-M1-Q-M1
S1-Q-A1-A1	0.0	0.0	100.0	L1-M1-Q-A1
S1-Q-A1-A1	100.0	0.0	0.0	G1-S1-Q-S1
S1-Q-A1-A1	100.0	0.0	0.0	G1-S1-Q-A1
S1-Q-A1-A1	0.0	0.0	100.0	G1-Q-S1-S1
S1-Q-A1-A1	100.0	0.0	0.0	G1-Q-S1-G2
S1-Q-A1-A1	0.0	0.0	100.0	G1-Q-A1-S1
S1-Q-A1-A1	0.0	100.0	0.0	G1-G2-Q-A1
S1-Q-A1-A1	100.0	0.0	0.0	G1-A1-S1-Q
S1-Q-A1-A1	0.0	0.0	100.0	G1-A1-Q-M1
S1-Q-A1-A1	0.0	100.0	0.0	B1-Q-A1-S1
S1-Q-A1-A1	0.0	0.0	100.0	B1-Q-A1-G1
S1-L1-M1-Q	0.0	0.0	100.0	L1-A1-Q-A1
S1-G1-Q-S2	100.0	0.0	0.0	S1-M1-L1-Q
S1-G1-Q-S2	0.0	0.0	100.0	G1-Q-A1-A1
S1-G1-Q-A1	0.0	0.0	100.0	L1-M1-Q-A1
S1-G1-Q-A1	0.0	0.0	100.0	G1-Q-A1-A1
S1-G1-Q-A1	100.0	0.0	0.0	G1-M1-Q-A1
S1-G1-M1-Q	100.0	0.0	0.0	G1-G2-Q-G2
S1-G1-M1-Q	0.0	100.0	0.0	G1-G2-Q-A1
S1-G1-G2-Q	0.0	0.0	100.0	G1-Q-A1-A2
S1-G1-A1-Q	100.0	0.0	0.0	L1-G1-Q-S1
S1-B1-Q-B1	100.0	0.0	0.0	G1-Q-A1-A2
S1-A1-S2-Q	0.0	0.0	100.0	G1-Q-A1-A1
S1-A1-Q-S2	0.0	0.0	100.0	G1-Q-S1-S1
S1-A1-Q-Q	0.0	0.0	100.0	G1-Q-G2-S1
S1-A1-Q-G1	100.0	0.0	0.0	L1-A1-Q-A1
S1-A1-Q-B1	100.0	0.0	0.0	L1-Q-P-A1
S1-A1-Q-A1	100.0	0.0	0.0	S1-A1-A2-Q
S1-A1-Q-A1	0.0	0.0	100.0	L1-Q-M1-S1
S1-A1-Q-A1	0.0	0.0	100.0	L1-Q-M1-A1
S1-A1-Q-A1	0.0	0.0	100.0	L1-Q-A1-S1
S1-A1-Q-A1	0.0	0.0	100.0	G1-Q-S1-G2
S1-A1-Q-A1	100.0	0.0	0.0	G1-Q-M1-M1
S1-A1-Q-A1	100.0	0.0	0.0	G1-G2-Q-A1
S1-A1-Q-A1	100.0	0.0	0.0	G1-A1-Q-S1
S1-A1-Q-A1	0.0	0.0	100.0	G1-A1-Q-A1
S1-A1-Q-A1	0.0	0.0	100.0	B1-Q-S1-A1
