turn	all	all-d	all-p	all-t	d-hive	d-hive-l	d-hive-lm	d-hive-m	d-hive-p	d-hive-pl	d-hive-plm	d-hive-pm	p-hive	p-hive-l	p-hive-lm	p-hive-m	p-hive-p	p-hive-pl	p-hive-plm	p-hive-pm	t-hive	t-hive-l	t-hive-lm	t-hive-m	t-hive-p	t-hive-pl	t-hive-plm	t-hive-pm
46	221	203	15	3	129	2	37	26	2	0	6	1	9	0	1	4	1	0	0	0	1	0	0	1	0	0	1	0
47	213	193	20	0	137	3	25	21	4	0	2	1	8	0	2	5	3	0	2	0	0	0	0	0	0	0	0	0
48	174	160	13	1	114	2	17	23	4	0	0	0	7	0	0	2	3	0	0	1	1	0	0	0	0	0	0	0
49	142	130	11	1	76	2	20	19	7	0	4	2	4	0	1	4	2	0	0	0	1	0	0	0	0	0	0	0
50	157	140	16	1	89	1	24	22	1	0	2	1	7	1	0	5	3	0	0	0	0	0	0	0	1	0	0	0
51	95	81	14	0	55	1	12	8	5	0	0	0	8	1	1	2	1	0	1	0	0	0	0	0	0	0	0	0
52	111	104	7	0	77	0	8	9	3	0	6	1	5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
53	90	81	8	1	47	2	14	9	4	0	3	2	2	0	1	4	0	0	1	0	0	0	0	1	0	0	0	0
54	99	92	7	0	69	0	10	7	3	0	3	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
55	73	71	2	0	54	0	4	9	0	1	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
56	92	85	7	0	55	1	10	15	3	0	1	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
57	59	55	4	0	36	1	9	9	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
58	53	49	4	0	33	1	5	8	1	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
59	61	56	4	1	37	0	10	2	4	0	3	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0
60	52	50	2	0	39	0	5	4	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
61	49	42	7	0	30	1	6	5	0	0	0	0	4	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
62	31	28	2	1	20	0	4	4	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
63	30	25	5	0	18	0	2	3	0	0	1	1	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
64	33	31	2	0	22	0	4	3	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
65	24	21	3	0	18	0	1	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	24	18	6	0	16	0	1	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	27	26	1	0	19	1	4	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	25	24	1	0	18	1	1	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	25	23	2	0	19	1	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
70	23	20	2	1	14	1	2	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
71	14	14	0	0	9	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	14	12	2	0	7	0	1	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	14	12	2	0	7	0	3	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
74	13	12	1	0	11	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	14	9	3	2	8	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
76	13	13	0	0	9	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	13	12	1	0	9	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
78	8	5	3	0	3	0	1	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
79	11	9	2	0	6	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
80	7	6	1	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
81	10	8	2	0	7	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
82	5	4	1	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
83	7	6	0	1	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
84	2	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	3	2	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	5	5	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
