White	WhiteWin	Draw	BlackWin	Black
P-M1-Q-B1	1	0	0	G1-Q-A1-A1
P-A1-Q-S1	0	0	1	G1-Q-S1-P
P-A1-Q-S1	0	0	1	G1-Q-P-A1
P-A1-Q-S1	1	0	0	B1-Q-S1-S1
P-A1-Q-M1	1	0	0	L1-P-Q-S1
P-A1-Q-A1	1	0	0	P-Q-B1-B2
P-A1-Q-A1	1	0	0	P-Q-B1-B1
P-A1-Q-A1	0	1	0	M1-G1-Q-A1
P-A1-Q-A1	0	0	1	G1-S1-Q-A1
P-A1-Q-A1	1	0	0	G1-Q-S1-S1
P-A1-Q-A1	1	0	0	G1-Q-P-A1
P-A1-Q-A1	0	0	1	G1-Q-A1-S1
P-A1-Q-A1	1	0	0	G1-B1-Q-A1
P-A1-Q-A1	0	0	1	G1-A1-Q-A1
M1-S1-Q-S1	0	0	1	L1-Q-G1-S1
M1-Q-A1-B1	1	0	0	S1-Q-Q-B1
M1-Q-A1-A1	0	0	1	G1-B1-Q-A1
M1-P-Q-S1	0	0	1	G1-Q-B1-B1
M1-P-Q-B1	0	0	1	M1-Q-P-B1
L1-S1-Q-A1	0	1	0	G1-Q-S1-S1
L1-Q-S1-S2	0	0	1	L1-M1-Q-S1
L1-Q-S1-S1	0	0	1	L1-A1-Q-A1
L1-Q-S1-S1	0	0	1	G1-Q-A1-L1
L1-Q-S1-S1	0	0	1	B1-Q-A1-A2
L1-Q-S1-A1	1	0	0	G1-L1-S1-Q
L1-Q-M1-A1	0	0	1	L1-Q-A1-A2
L1-Q-A1-M1	0	0	1	L1-A1-Q-A2
L1-Q-A1-A2	1	0	0	L1-S1-Q-S1
L1-Q-A1-A2	0	0	1	L1-G1-Q-S1
L1-Q-A1-A1	0	0	1	L1-Q-A1-A2
L1-Q-A1-A1	1	0	0	B1-Q-M1-A1
L1-M1-Q-A1	1	0	0	S1-Q-A1-A1
L1-M1-Q-A1	1	0	0	P-A1-Q-M1
L1-M1-Q-A1	0	1	0	M1-A1-Q-A1
L1-M1-Q-A1	0	0	1	L1-Q-A1-M1
L1-M1-Q-A1	0	0	1	L1-M1-Q-A1
L1-G1-S1-Q	1	0	0	G1-Q-A1-A1
L1-G1-Q-S1	1	0	0	G1-Q-A1-A1
L1-B1-Q-A1	0	0	1	L1-Q-A1-A1
L1-A1-Q-S1	0	0	1	L1-Q-G1-A1
L1-A1-Q-S1	1	0	0	L1-M1-Q-S1
L1-A1-Q-S1	0	1	0	B1-M1-Q-A1
L1-A1-Q-M1	1	0	0	L1-Q-S1-S1
L1-A1-Q-G1	0	0	1	S1-L1-M1-Q
L1-A1-Q-A2	1	0	0	B1-Q-L1-S1
