White	WhiteWin	Draw	BlackWin	Black
S1-S2-Q-B1	9	1	33	G1-Q-A1-A1
S1-S2-Q-A1	34	1	8	S1-G1-B1-Q
G1-A1-Q-A2	34	0	9	G1-B1-B2-Q
S1-S2-Q-A1	33	0	9	S1-B1-B2-Q
S1-S2-Q-A1	32	0	10	G1-B1-B2-Q
S1-Q-A1-A2	37	0	5	S1-S2-Q-B1
S1-Q-A1-A2	37	1	4	G1-G2-A1-Q
S1-Q-A1-A1	34	0	8	A1-A2-Q-B1
S1-A1-Q-A2	38	0	4	S1-G1-S2-Q
G1-Q-B1-B2	22	2	18	S1-Q-A1-A1
G1-A1-Q-B1	20	0	22	S1-A1-Q-A1
B1-S1-Q-B2	10	0	32	S1-Q-A1-A1
S1-Q-A1-A2	33	1	7	S1-B1-Q-B2
S1-A1-Q-A1	23	2	16	G1-Q-B1-B2
G1-S1-A1-Q	7	0	34	G1-Q-A1-A1
G1-A1-A2-Q	19	1	21	S1-A1-Q-A1
A1-S1-B1-Q	6	0	35	S1-Q-A1-A1
S1-S2-Q-A1	36	0	4	G1-S1-B1-Q
S1-Q-A1-A1	31	1	8	B1-S1-Q-B2
S1-B1-A1-Q	12	0	28	G1-Q-A1-A1
S1-A1-G1-Q	9	2	29	G1-Q-A1-A1
G1-S1-B1-Q	7	0	33	G1-Q-A1-A1
G1-Q-A1-A1	34	0	6	A1-A2-Q-B1
B1-A1-A2-Q	8	0	32	G1-Q-A1-A1
S1-Q-B1-B2	15	2	22	S1-Q-A1-A1
S1-G1-A1-Q	10	0	29	S1-Q-A1-A1
S1-G1-A1-Q	12	0	27	S1-A1-Q-A1
S1-A1-G1-Q	13	1	25	S1-Q-A1-A1
S1-A1-A2-Q	26	2	11	S1-A1-Q-B1
G1-S1-A1-Q	8	0	31	S1-A1-Q-A1
G1-Q-S1-B1	14	0	25	S1-Q-A1-A1
G1-Q-A1-A2	32	0	7	G1-A1-B1-Q
G1-Q-A1-A1	30	2	7	S1-S2-Q-B1
G1-G2-B1-Q	4	0	35	G1-Q-A1-A1
G1-B1-A1-Q	7	1	31	G1-Q-A1-A1
G1-A1-Q-A2	36	0	3	G1-G2-B1-Q
A1-B1-G1-Q	18	0	21	S1-Q-A1-A1
S1-Q-A1-A2	33	1	4	G1-S1-Q-B1
S1-Q-A1-A2	36	0	2	A1-B1-A2-Q
S1-Q-A1-A1	32	0	6	A1-S1-Q-B1
S1-G1-A1-Q	24	0	14	G1-B1-Q-B2
S1-A1-Q-A1	24	1	13	G1-Q-S1-B1
G1-Q-A1-A2	34	0	4	S1-S2-G1-Q
B1-G1-A1-Q	14	0	24	S1-Q-A1-A1
A1-B1-B2-Q	7	0	31	G1-Q-A1-A2
A1-B1-A2-Q	9	0	29	S1-Q-A1-A1
S1-S2-Q-A1	27	0	10	G1-S1-Q-B1
S1-S2-A1-Q	12	1	24	S1-A1-Q-A1
S1-S2-A1-Q	5	1	31	G1-Q-A1-A1
S1-Q-S2-S2	24	1	12	S1-A1-Q-B1
S1-Q-A1-A2	31	0	6	G1-B1-G2-Q
S1-Q-A1-A2	29	0	8	B1-S1-G1-Q
S1-Q-A1-A1	26	1	10	G1-M1-Q-B1
G1-Q-A1-A2	36	0	1	A1-G1-B1-Q
G1-B1-A1-Q	8	1	28	S1-Q-A1-A1
B1-A1-B2-Q	12	0	25	S1-A1-Q-A1
A1-G1-B1-Q	6	1	30	G1-Q-A1-A1
S1-S2-Q-A1	23	0	13	G1-G2-Q-B1
S1-S2-Q-A1	26	0	10	G1-A1-Q-B1
S1-S2-A1-Q	22	1	13	S1-S2-Q-B1
S1-Q-S2-B1	15	2	19	S1-Q-A1-A1
S1-Q-A1-A2	33	0	3	G1-B1-S1-Q
S1-Q-A1-A2	27	1	8	B1-A1-B2-Q
S1-Q-A1-A1	21	1	14	S1-Q-G1-B1
S1-Q-A1-A1	17	1	18	G1-Q-G2-B1
S1-B1-Q-B2	9	2	25	S1-Q-A1-A1
M1-A1-Q-B1	11	1	24	S1-Q-A1-A1
G1-A1-Q-B1	5	1	30	G1-Q-S1-S1
G1-A1-G2-Q	16	0	20	S1-Q-A1-A1
B1-S1-Q-B2	9	0	27	G1-Q-A1-A1
B1-S1-A1-Q	10	0	26	S1-Q-A1-A1
B1-B2-G1-Q	9	0	27	G1-Q-A1-A1
A1-B1-A2-Q	6	0	30	G1-Q-A1-A1
S1-Q-A1-A2	23	0	12	S1-G1-Q-B1
S1-Q-A1-A2	30	0	5	G1-S1-S2-Q
S1-A1-Q-A2	27	0	8	S1-A1-S2-Q
S1-A1-Q-A1	31	1	3	A1-A2-Q-B1
S1-A1-A2-Q	17	0	18	S1-A1-A2-Q
G1-S1-Q-B1	7	0	28	G1-Q-A1-A1
B1-A1-Q-B2	20	0	15	S1-A1-Q-A1
B1-A1-A2-Q	13	0	22	S1-A1-Q-A1
A1-S1-Q-B1	6	0	29	G1-Q-A1-A1
S1-S2-Q-A1	24	1	9	S1-S2-Q-B1
S1-S2-G1-Q	11	0	23	G1-Q-A1-A1
S1-S2-A1-Q	21	0	13	S1-A1-Q-B1
S1-Q-S2-S2	23	1	10	S1-B1-Q-B2
S1-Q-S2-S2	20	0	14	G1-Q-B1-B2
S1-Q-A1-A2	27	0	7	G1-G2-Q-B1
S1-Q-A1-A2	24	0	10	B1-S1-B2-Q
S1-Q-A1-A2	30	0	4	A1-G1-B1-Q
S1-A1-S2-Q	7	1	26	S1-Q-A1-A1
G1-S1-B1-Q	13	0	21	S1-A1-Q-A1
B1-S1-A1-Q	10	0	24	G1-Q-A1-A1
A1-A2-Q-B1	6	0	28	G1-Q-S1-S1
S1-Q-S2-S2	19	0	14	G1-A1-Q-B1
G1-Q-S1-S1	28	2	3	S1-A1-Q-B1
S1-S2-Q-B1	8	0	24	S1-A1-Q-A1
S1-S2-Q-A1	20	2	10	S1-G1-Q-B1
S1-S2-Q-A1	25	0	7	S1-A1-Q-B1
S1-Q-S2-S2	21	0	11	S1-S2-Q-B1
S1-Q-S2-S2	19	0	13	G1-Q-S1-B1
S1-Q-S2-A1	24	0	8	G1-B1-B2-Q
S1-Q-A1-A2	23	0	9	B1-G1-B2-Q
